387,7,406,5
388,26,7,387
389,45,26,388
390,64,45,389
391,83,64,390
392,102,83,391
393,121,102,392
394,140,121,393
395,159,140,394
396,178,159,395
397,197,178,396
398,216,197,397
399,235,216,398
400,254,235,399
401,273,254,400
402,292,273,401
403,311,292,402
404,330,311,403
405,349,330,404
6,368,349,405
7,8,407,406
26,27,8,7
45,46,27,26
64,65,46,45
83,84,65,64
102,103,84,83
121,122,103,102
140,141,122,121
159,160,141,140
178,179,160,159
197,198,179,178
216,217,198,197
235,236,217,216
254,255,236,235
273,274,255,254
292,293,274,273
311,312,293,292
330,331,312,311
349,350,331,330
368,369,350,349
8,9,408,407
27,28,9,8
46,47,28,27
65,66,47,46
84,85,66,65
103,104,85,84
122,123,104,103
141,142,123,122
160,161,142,141
179,180,161,160
198,199,180,179
217,218,199,198
236,237,218,217
255,256,237,236
274,275,256,255
293,294,275,274
312,313,294,293
331,332,313,312
350,351,332,331
369,370,351,350
9,10,409,408
28,29,10,9
47,48,29,28
66,67,48,47
85,86,67,66
104,105,86,85
123,124,105,104
142,143,124,123
161,162,143,142
180,181,162,161
199,200,181,180
218,219,200,199
237,238,219,218
256,257,238,237
275,276,257,256
294,295,276,275
313,314,295,294
332,333,314,313
351,352,333,332
370,371,352,351
10,11,410,409
29,30,11,10
48,49,30,29
67,68,49,48
86,87,68,67
105,106,87,86
124,125,106,105
143,144,125,124
162,163,144,143
181,182,163,162
200,201,182,181
219,220,201,200
238,239,220,219
257,258,239,238
276,277,258,257
295,296,277,276
314,315,296,295
333,334,315,314
352,353,334,333
371,372,353,352
11,12,411,410
30,31,12,11
49,50,31,30
68,69,50,49
87,88,69,68
106,107,88,87
125,126,107,106
144,145,126,125
163,164,145,144
182,183,164,163
201,202,183,182
220,221,202,201
239,240,221,220
258,259,240,239
277,278,259,258
296,297,278,277
315,316,297,296
334,335,316,315
353,354,335,334
372,373,354,353
12,13,412,411
31,32,13,12
50,51,32,31
69,70,51,50
88,89,70,69
107,108,89,88
126,127,108,107
145,146,127,126
164,165,146,145
183,184,165,164
202,203,184,183
221,222,203,202
240,241,222,221
259,260,241,240
278,279,260,259
297,298,279,278
316,317,298,297
335,336,317,316
354,355,336,335
373,374,355,354
13,14,413,412
32,33,14,13
51,52,33,32
70,71,52,51
89,90,71,70
108,109,90,89
127,128,109,108
146,147,128,127
165,166,147,146
184,185,166,165
203,204,185,184
222,223,204,203
241,242,223,222
260,261,242,241
279,280,261,260
298,299,280,279
317,318,299,298
336,337,318,317
355,356,337,336
374,375,356,355
14,15,414,413
33,34,15,14
52,53,34,33
71,72,53,52
90,91,72,71
109,110,91,90
128,129,110,109
147,148,129,128
166,167,148,147
185,186,167,166
204,205,186,185
223,224,205,204
242,243,224,223
261,262,243,242
280,281,262,261
299,300,281,280
318,319,300,299
337,338,319,318
356,357,338,337
375,376,357,356
15,16,415,414
34,35,16,15
53,54,35,34
72,73,54,53
91,92,73,72
110,111,92,91
129,130,111,110
148,149,130,129
167,168,149,148
186,187,168,167
205,206,187,186
224,225,206,205
243,244,225,224
262,263,244,243
281,282,263,262
300,301,282,281
319,320,301,300
338,339,320,319
357,358,339,338
376,377,358,357
16,17,416,415
35,36,17,16
54,55,36,35
73,74,55,54
92,93,74,73
111,112,93,92
130,131,112,111
149,150,131,130
168,169,150,149
187,188,169,168
206,207,188,187
225,226,207,206
244,245,226,225
263,264,245,244
282,283,264,263
301,302,283,282
320,321,302,301
339,340,321,320
358,359,340,339
377,378,359,358
17,18,417,416
36,37,18,17
55,56,37,36
74,75,56,55
93,94,75,74
112,113,94,93
131,132,113,112
150,151,132,131
169,170,151,150
188,189,170,169
207,208,189,188
226,227,208,207
245,246,227,226
264,265,246,245
283,284,265,264
302,303,284,283
321,322,303,302
340,341,322,321
359,360,341,340
378,379,360,359
18,19,418,417
37,38,19,18
56,57,38,37
75,76,57,56
94,95,76,75
113,114,95,94
132,133,114,113
151,152,133,132
170,171,152,151
189,190,171,170
208,209,190,189
227,228,209,208
246,247,228,227
265,266,247,246
284,285,266,265
303,304,285,284
322,323,304,303
341,342,323,322
360,361,342,341
379,380,361,360
19,20,419,418
38,39,20,19
57,58,39,38
76,77,58,57
95,96,77,76
114,115,96,95
133,134,115,114
152,153,134,133
171,172,153,152
190,191,172,171
209,210,191,190
228,229,210,209
247,248,229,228
266,267,248,247
285,286,267,266
304,305,286,285
323,324,305,304
342,343,324,323
361,362,343,342
380,381,362,361
20,21,420,419
39,40,21,20
58,59,40,39
77,78,59,58
96,97,78,77
115,116,97,96
134,135,116,115
153,154,135,134
172,173,154,153
191,192,173,172
210,211,192,191
229,230,211,210
248,249,230,229
267,268,249,248
286,287,268,267
305,306,287,286
324,325,306,305
343,344,325,324
362,363,344,343
381,382,363,362
21,22,421,420
40,41,22,21
59,60,41,40
78,79,60,59
97,98,79,78
116,117,98,97
135,136,117,116
154,155,136,135
173,174,155,154
192,193,174,173
211,212,193,192
230,231,212,211
249,250,231,230
268,269,250,249
287,288,269,268
306,307,288,287
325,326,307,306
344,345,326,325
363,364,345,344
382,383,364,363
22,23,422,421
41,42,23,22
60,61,42,41
79,80,61,60
98,99,80,79
117,118,99,98
136,137,118,117
155,156,137,136
174,175,156,155
193,194,175,174
212,213,194,193
231,232,213,212
250,251,232,231
269,270,251,250
288,289,270,269
307,308,289,288
326,327,308,307
345,346,327,326
364,365,346,345
383,384,365,364
23,24,423,422
42,43,24,23
61,62,43,42
80,81,62,61
99,100,81,80
118,119,100,99
137,138,119,118
156,157,138,137
175,176,157,156
194,195,176,175
213,214,195,194
232,233,214,213
251,252,233,232
270,271,252,251
289,290,271,270
308,309,290,289
327,328,309,308
346,347,328,327
365,366,347,346
384,385,366,365
24,25,424,423
43,44,25,24
62,63,44,43
81,82,63,62
100,101,82,81
119,120,101,100
138,139,120,119
157,158,139,138
176,177,158,157
195,196,177,176
214,215,196,195
233,234,215,214
252,253,234,233
271,272,253,252
290,291,272,271
309,310,291,290
328,329,310,309
347,348,329,328
366,367,348,347
385,386,367,366
25,443,1,424
44,442,443,25
63,441,442,44
82,440,441,63
101,439,440,82
120,438,439,101
139,437,438,120
158,436,437,139
177,435,436,158
196,434,435,177
215,433,434,196
234,432,433,215
253,431,432,234
272,430,431,253
291,429,430,272
310,428,429,291
329,427,428,310
348,426,427,329
367,425,426,348
386,3,425,367
443,444,843,1
442,463,444,443
441,482,463,442
440,501,482,441
439,520,501,440
438,539,520,439
437,558,539,438
436,577,558,437
435,596,577,436
434,615,596,435
433,634,615,434
432,653,634,433
431,672,653,432
430,691,672,431
429,710,691,430
428,729,710,429
427,748,729,428
426,767,748,427
425,786,767,426
3,824,786,425
444,445,844,843
463,464,445,444
482,483,464,463
501,502,483,482
520,521,502,501
539,540,521,520
558,559,540,539
577,578,559,558
596,597,578,577
615,616,597,596
634,635,616,615
653,654,635,634
672,673,654,653
691,692,673,672
710,711,692,691
729,730,711,710
748,749,730,729
767,768,749,748
786,787,768,767
824,825,787,786
445,446,845,844
464,465,446,445
483,484,465,464
502,503,484,483
521,522,503,502
540,541,522,521
559,560,541,540
578,579,560,559
597,598,579,578
616,617,598,597
635,636,617,616
654,655,636,635
673,674,655,654
692,693,674,673
711,712,693,692
730,731,712,711
749,750,731,730
768,769,750,749
787,788,769,768
825,826,788,787
446,447,846,845
465,466,447,446
484,485,466,465
503,504,485,484
522,523,504,503
541,542,523,522
560,561,542,541
579,580,561,560
598,599,580,579
617,618,599,598
636,637,618,617
655,656,637,636
674,675,656,655
693,694,675,674
712,713,694,693
731,732,713,712
750,751,732,731
769,770,751,750
788,789,770,769
826,827,789,788
447,448,847,846
466,467,448,447
485,486,467,466
504,505,486,485
523,524,505,504
542,543,524,523
561,562,543,542
580,581,562,561
599,600,581,580
618,619,600,599
637,638,619,618
656,657,638,637
675,676,657,656
694,695,676,675
713,714,695,694
732,733,714,713
751,752,733,732
770,771,752,751
789,790,771,770
827,828,790,789
448,449,848,847
467,468,449,448
486,487,468,467
505,506,487,486
524,525,506,505
543,544,525,524
562,563,544,543
581,582,563,562
600,601,582,581
619,620,601,600
638,639,620,619
657,658,639,638
676,677,658,657
695,696,677,676
714,715,696,695
733,734,715,714
752,753,734,733
771,772,753,752
790,791,772,771
828,829,791,790
449,450,849,848
468,469,450,449
487,488,469,468
506,507,488,487
525,526,507,506
544,545,526,525
563,564,545,544
582,583,564,563
601,602,583,582
620,621,602,601
639,640,621,620
658,659,640,639
677,678,659,658
696,697,678,677
715,716,697,696
734,735,716,715
753,754,735,734
772,773,754,753
791,792,773,772
829,830,792,791
450,451,850,849
469,470,451,450
488,489,470,469
507,508,489,488
526,527,508,507
545,546,527,526
564,565,546,545
583,584,565,564
602,603,584,583
621,622,603,602
640,641,622,621
659,660,641,640
678,679,660,659
697,698,679,678
716,717,698,697
735,736,717,716
754,755,736,735
773,774,755,754
792,793,774,773
830,831,793,792
451,452,851,850
470,471,452,451
489,490,471,470
508,509,490,489
527,528,509,508
546,547,528,527
565,566,547,546
584,585,566,565
603,604,585,584
622,623,604,603
641,642,623,622
660,661,642,641
679,680,661,660
698,699,680,679
717,718,699,698
736,737,718,717
755,756,737,736
774,775,756,755
793,794,775,774
831,832,794,793
452,453,852,851
471,472,453,452
490,491,472,471
509,510,491,490
528,529,510,509
547,548,529,528
566,567,548,547
585,586,567,566
604,605,586,585
623,624,605,604
